spec	Fold_0
nist_1137094	train
nist_1137126	train
nist_1137149	train
nist_1137168	train
nist_1137190	train
nist_1137238	train
nist_1137289	train
nist_1137346	val
nist_1137399	train
nist_1137420	train
nist_1137441	train
nist_1137462	train
nist_1137513	train
nist_1137534	train
nist_1137554	train
nist_1137575	train
nist_1137630	val
nist_1137650	val
nist_1137699	train
nist_1137710	train
nist_1137798	train
nist_1137817	train
nist_1137854	test
nist_1137876	test
nist_1137925	train
nist_1137950	train
nist_1138006	train
nist_1138024	train
nist_1138077	train
nist_1138099	train
nist_1138160	train
nist_1138184	train
nist_1138243	train
nist_1138266	train
nist_1138311	train
nist_1138331	train
nist_1138369	val
nist_1138397	val
nist_1138411	train
nist_1138435	train
nist_1138455	train
nist_1138475	train
nist_1138495	train
nist_1138516	train
nist_1138539	train
nist_1138588	test
nist_1138634	train
nist_1138656	train
nist_1138709	train
nist_1138725	train
nist_1138763	train
nist_1138812	train
nist_1138866	train
nist_1138897	train
nist_1138917	train
nist_1138938	train
nist_1138990	train
nist_1139040	train
nist_1139061	train
nist_1139116	train
nist_1139138	train
nist_1139175	train
nist_1139197	train
nist_1139217	val
nist_1139239	val
nist_1139261	train
nist_1139281	train
nist_1139301	train
nist_1139322	train
nist_1139343	train
nist_1139368	train
nist_1139390	train
nist_1139411	train
nist_1139452	train
nist_1139473	train
nist_1139506	train
nist_1139528	train
nist_1139584	train
nist_1139602	train
nist_1139654	train
nist_1139676	train
nist_1139697	train
nist_1139730	val
nist_1139750	train
nist_1139775	train
nist_1139811	train
nist_1139832	train
nist_1139875	train
nist_1139894	train
nist_1139942	train
nist_1139964	train
nist_1139983	train
nist_1140021	test
nist_1140043	test
nist_1140084	train
nist_1140111	train
nist_1140133	train
nist_1140192	train
nist_1140216	train
nist_1140252	train
nist_1140304	train
nist_1140360	train
nist_1140392	train
nist_1140447	train
nist_1140460	train
nist_1140488	train
nist_1140546	train
nist_1140603	train
nist_1140625	train
nist_1140688	train
nist_1140710	train
nist_1140734	train
nist_1140780	train
nist_1140834	train
nist_1140852	train
nist_1140861	train
nist_1140882	train
nist_1140952	train
nist_1140974	train
nist_1140997	test
nist_1141016	train
nist_1141081	train
nist_1141104	train
nist_1141124	train
nist_1141158	train
nist_1141180	val
nist_1141201	train
nist_1141222	train
nist_1141246	train
nist_1141266	train
nist_1141288	train
nist_1141310	test
nist_1141323	test
nist_1141344	train
nist_1141365	test
nist_1141392	test
nist_1141422	train
nist_1141450	train
nist_1141463	train
nist_1141512	train
nist_1141530	test
nist_1141552	test
nist_1141563	train
nist_1141582	train
nist_1141605	train
nist_1141664	val
nist_1141793	val
nist_1141976	train
nist_1141996	train
nist_1142100	train
nist_1142123	train
nist_1142170	train
nist_1142236	train
nist_1142296	train
nist_1142352	train
nist_1142372	train
nist_1142442	train
nist_1142463	train
nist_1142505	test
nist_1142541	train
nist_1142596	train
nist_1142617	train
nist_1142636	train
nist_1142657	train
nist_1142709	train
nist_1142761	train
nist_1142784	train
nist_1142806	train
nist_1142836	train
nist_1142910	train
nist_1142944	train
nist_1142968	train
nist_1142990	train
nist_1143012	train
nist_1143022	train
nist_1143051	train
nist_1143099	train
nist_1143158	test
nist_1143170	test
nist_1143179	test
nist_1143206	test
nist_1143227	test
nist_1143256	train
nist_1143270	train
nist_1143289	train
nist_1143310	val
nist_1143332	val
nist_1143337	train
nist_1143346	train
nist_1143359	train
nist_1143377	train
nist_1143422	val
nist_1143449	test
nist_1143466	train
nist_1143483	val
nist_1143505	val
nist_1143524	train
nist_1143556	train
nist_1143599	train
nist_1143620	train
nist_1143674	train
nist_1143721	train
nist_1143812	train
nist_1143919	train
nist_1143942	train
nist_1143962	train
nist_1143986	train
nist_1144025	test
nist_1144104	test
nist_1144159	train
nist_1144226	train
nist_1144292	train
nist_1144304	train
nist_1144309	train
nist_1144347	train
nist_1144369	test
nist_1144389	train
nist_1144406	train
nist_1144420	train
nist_1144447	train
nist_1144511	test
nist_1144531	train
nist_1144583	train
nist_1144601	train
nist_1144620	train
nist_1144642	train
nist_1144659	train
nist_1144681	train
nist_1144705	train
nist_1144725	train
nist_1144748	train
nist_1144768	train
nist_1144784	train
nist_1144801	train
nist_1144819	train
nist_1144840	train
nist_1144854	train
nist_1144867	val
nist_1144895	val
nist_1144906	train
nist_1144923	train
nist_1144939	test
nist_1144957	train
nist_1144963	train
nist_1144987	train
nist_1145006	train
nist_1145063	train
nist_1145077	train
nist_1145109	train
nist_1145119	train
nist_1145138	train
nist_1145149	train
nist_1145181	train
nist_1145204	train
nist_1145216	test
nist_1145237	train
nist_1145260	train
nist_1145281	train
nist_1145327	train
nist_1145330	train
nist_1145344	train
nist_1145362	train
nist_1145392	test
nist_1145465	train
nist_1145595	train
nist_1145613	train
nist_1145666	train
nist_1145687	train
nist_1145739	train
nist_1145752	train
nist_1145785	train
nist_1145811	test
nist_1145851	train
nist_1145880	train
nist_1145893	train
nist_1145907	train
nist_1145928	train
nist_1145942	train
nist_1145962	train
nist_1145996	train
nist_1146019	train
nist_1146075	train
nist_1146087	train
nist_1146129	test
nist_1146158	train
nist_1146198	train
nist_1146205	train
nist_1146226	val
nist_1146249	train
nist_1146271	train
nist_1146293	train
nist_1146324	train
nist_1146356	train
nist_1146376	train
nist_1146395	train
nist_1146414	train
nist_1146435	train
nist_1146454	train
nist_1146476	train
nist_1146501	train
nist_1146525	train
nist_1146547	train
nist_1146581	train
nist_1146603	train
nist_1146619	train
nist_1146640	train
nist_1146656	train
nist_1146678	train
nist_1146699	train
nist_1146709	train
nist_1146723	train
nist_1146752	test
nist_1146769	train
nist_1146800	train
nist_1146817	test
nist_1146829	train
nist_1146853	train
nist_1146865	train
nist_1146870	train
nist_1146887	test
nist_1146925	train
nist_1146958	val
nist_1146978	train
nist_1146997	train
nist_1147017	train
nist_1147022	train
nist_1147058	train
nist_1147076	train
nist_1147092	train
nist_1147111	train
nist_1147132	train
nist_1147166	train
nist_1147217	test
nist_1147237	test
nist_1147247	train
nist_1147266	train
nist_1147288	train
nist_1147305	train
nist_1147313	train
nist_1147348	train
nist_1147388	train
nist_1147409	test
nist_1147431	test
nist_1147440	val
nist_1147457	train
nist_1147468	train
nist_1147474	train
nist_1147485	test
nist_1147519	train
nist_1147560	train
nist_1147563	train
nist_1147588	train
nist_1147600	test
nist_1147614	train
nist_1147653	train
nist_1147685	train
nist_1147759	train
nist_1147798	val
nist_1147818	val
nist_1147836	train
nist_1147844	train
nist_1147852	test
nist_1147869	test
nist_1147885	train
nist_1147907	train
nist_1147930	train
nist_1147948	train
nist_1147964	train
nist_1147982	train
nist_1148002	train
nist_1148026	train
nist_1148057	train
nist_1148076	train
nist_1148108	train
nist_1148158	test
nist_1148190	train
nist_1148215	train
nist_1148259	train
nist_1148307	val
nist_1148330	val
nist_1148333	train
nist_1148402	train
nist_1148449	train
nist_1148513	train
nist_1148605	train
nist_1148643	train
nist_1148674	train
nist_1148706	test
nist_1148727	test
nist_1148842	train
nist_1148913	train
nist_1148940	train
nist_1148968	train
nist_1149011	train
nist_1149037	train
nist_1149062	train
nist_1149086	train
nist_1149107	train
nist_1149151	test
nist_1149170	test
nist_1149189	train
nist_1149209	train
nist_1149238	train
nist_1149271	test
nist_1149293	test
nist_1149316	train
nist_1149327	train
nist_1149347	train
nist_1149371	train
nist_1149381	train
nist_1149402	train
nist_1149417	test
nist_1149438	test
nist_1149459	test
nist_1149495	test
nist_1149559	train
nist_1149586	train
nist_1149628	train
nist_1149647	train
nist_1149700	train
nist_1149724	train
nist_1149841	train
nist_1149867	train
nist_1149887	train
nist_1149892	train
nist_1149908	train
nist_1149931	train
nist_1150092	test
nist_1150116	test
nist_1150131	train
nist_1150146	train
nist_1150168	train
nist_1150179	train
nist_1150200	train
nist_1150215	train
nist_1150243	train
nist_1150262	test
nist_1150289	test
nist_1150303	train
nist_1150324	train
nist_1150344	train
nist_1150364	train
nist_1150383	val
nist_1150395	train
nist_1150420	train
nist_1150458	train
nist_1150502	val
nist_1150518	val
nist_1150533	train
nist_1150564	val
nist_1150579	val
nist_1150626	val
nist_1150642	val
nist_1150702	train
nist_1150719	train
nist_1150726	train
nist_1150754	train
nist_1150768	train
nist_1150778	train
nist_1150799	train
nist_1150807	train
nist_1150822	train
nist_1150844	train
nist_1150855	train
nist_1150881	train
nist_1150902	train
nist_1150915	train
nist_1150943	train
nist_1150964	train
nist_1150984	train
nist_1151005	train
nist_1151026	train
nist_1151045	train
nist_1151056	train
nist_1151093	train
nist_1151114	train
nist_1151134	train
nist_1151167	val
nist_1151188	val
nist_1151204	val
nist_1151237	train
nist_1151260	train
nist_1151278	train
nist_1151325	val
nist_1151345	val
nist_1151359	train
nist_1151376	train
nist_1151387	train
nist_1151435	val
nist_1151449	val
nist_1151457	val
nist_1151489	train
nist_1151503	train
nist_1151508	train
nist_1151562	train
nist_1151574	train
nist_1151591	train
nist_1151609	train
nist_1151634	train
nist_1151652	train
nist_1151670	train
nist_1151690	train
nist_1151715	test
nist_1151737	test
nist_1151752	test
nist_1151787	test
nist_1151811	test
nist_1151843	test
nist_1151860	test
nist_1151875	train
nist_1151967	val
nist_1152004	val
nist_1152056	train
nist_1152093	train
nist_1152146	train
nist_1152182	train
nist_1152233	train
nist_1152264	train
nist_1152314	val
nist_1152346	val
nist_1152359	train
nist_1152374	train
nist_1152384	train
nist_1152408	train
nist_1152423	train
nist_1152442	train
nist_1152538	train
nist_1152555	train
nist_1152573	train
nist_1152597	train
nist_1152638	train
nist_1152648	train
nist_1152673	train
nist_1152691	train
nist_1152708	train
nist_1152720	train
nist_1152743	train
nist_1152759	train
nist_1152783	train
nist_1152806	train
nist_1152818	train
nist_1152823	train
nist_1152845	train
nist_1152861	train
nist_1152867	train
nist_1152896	train
nist_1152912	train
nist_1152934	train
nist_1152943	train
nist_1152962	train
nist_1152982	train
nist_1152987	train
nist_1153008	train
nist_1153014	train
nist_1153026	train
nist_1153032	train
nist_1153062	train
nist_1153082	train
nist_1153092	train
nist_1153110	train
nist_1153119	train
nist_1153138	train
nist_1153165	train
nist_1153193	train
nist_1153329	train
nist_1153422	train
nist_1153446	train
nist_1153488	train
nist_1153521	train
nist_1153536	train
nist_1153559	train
nist_1153586	train
nist_1153595	train
nist_1153606	train
nist_1153644	train
nist_1153668	train
nist_1153681	train
nist_1153694	train
nist_1153701	train
nist_1153713	train
nist_1153731	train
nist_1153751	train
nist_1153781	test
nist_1153817	train
nist_1153831	train
nist_1153877	train
nist_1153899	train
nist_1153949	train
nist_1153977	train
nist_1153994	train
nist_1154031	train
nist_1154119	test
nist_1154148	train
nist_1154174	train
nist_1154197	train
nist_1154255	val
nist_1154281	train
nist_1154390	train
nist_1154434	train
nist_1154461	train
nist_1154471	train
nist_1154509	val
nist_1154570	train
nist_1154592	train
nist_1154629	train
nist_1154685	train
nist_1154723	train
nist_1154751	train
nist_1154780	val
nist_1154812	val
nist_1154851	train
nist_1154873	train
nist_1154904	train
nist_1154936	train
nist_1154999	train
nist_1155022	train
nist_1155047	train
nist_1155063	train
nist_1155087	train
nist_1155107	train
nist_1155129	train
nist_1155157	train
nist_1155179	train
nist_1155214	train
nist_1155238	train
nist_1155259	train
nist_1155292	train
nist_1155314	train
nist_1155343	train
nist_1155365	train
nist_1155430	train
nist_1155457	train
nist_1155468	test
nist_1155477	test
nist_1155504	train
nist_1155522	train
nist_1155549	train
nist_1155575	train
nist_1155604	train
nist_1155619	train
nist_1155644	train
nist_1155702	train
nist_1155733	test
nist_1155751	train
nist_1155782	train
nist_1155805	train
nist_1155820	train
nist_1155835	train
nist_1155851	train
nist_1155879	train
nist_1155901	train
nist_1155923	train
nist_1155940	train
nist_1155958	train
nist_1155969	train
nist_1155985	train
nist_1156005	train
nist_1156021	val
nist_1156039	test
nist_1156068	train
nist_1156095	train
nist_1156112	train
nist_1156129	train
nist_1156146	train
nist_1156165	train
nist_1156179	train
nist_1156196	train
nist_1156216	train
nist_1156240	train
nist_1156257	train
nist_1156275	train
nist_1156302	train
nist_1156316	train
nist_1156333	train
nist_1156350	train
nist_1156378	train
nist_1156396	train
nist_1156414	train
nist_1156432	train
nist_1156451	val
nist_1156482	test
nist_1156510	train
nist_1156527	train
nist_1156543	train
nist_1156562	train
nist_1156584	train
nist_1156600	train
nist_1156620	train
nist_1156652	val
nist_1156668	train
nist_1156685	train
nist_1156721	train
nist_1156770	test
nist_1156793	test
nist_1156798	train
nist_1156826	test
nist_1156844	train
nist_1156883	train
nist_1156895	val
nist_1156922	train
nist_1156950	train
nist_1156972	train
nist_1156995	train
nist_1157012	train
nist_1157029	train
nist_1157046	train
nist_1157078	train
nist_1157096	train
nist_1157113	train
nist_1157133	train
nist_1157165	train
nist_1157201	train
nist_1157241	train
nist_1157258	train
nist_1157280	train
nist_1157306	test
nist_1157325	test
nist_1157344	train
nist_1157369	train
nist_1157387	train
nist_1157409	test
nist_1157431	train
nist_1157451	train
nist_1157472	train
nist_1157484	train
nist_1157505	val
nist_1157530	train
nist_1157541	train
nist_1157551	test
nist_1157564	train
nist_1157598	train
nist_1157617	train
nist_1157636	train
nist_1157657	test
nist_1157674	train
nist_1157692	train
nist_1157740	val
nist_1157759	train
nist_1157777	train
nist_1157792	val
nist_1157816	train
nist_1157839	train
nist_1157860	train
nist_1157892	train
nist_1157932	train
nist_1157957	train
nist_1157997	train
nist_1158044	train
nist_1158064	train
nist_1158094	val
nist_1158120	val
nist_1158131	train
nist_1158154	train
nist_1158170	train
nist_1158193	train
nist_1158210	train
nist_1158243	train
nist_1158287	test
nist_1158307	test
nist_1158324	train
nist_1158343	train
nist_1158363	train
nist_1158382	train
nist_1158404	train
nist_1158425	train
nist_1158446	train
nist_1158469	test
nist_1158493	val
nist_1158531	train
nist_1158560	val
nist_1158591	train
nist_1158611	train
nist_1158638	test
nist_1158662	val
nist_1158701	test
nist_1158733	val
nist_1158749	test
nist_1158779	train
nist_1158812	train
nist_1158830	train
nist_1158836	train
nist_1158856	train
nist_1158888	train
nist_1158916	train
nist_1158940	train
nist_1158963	train
nist_1158979	train
nist_1159008	train
nist_1159034	train
nist_1159056	train
nist_1159076	train
nist_1159146	train
nist_1159160	train
nist_1159186	train
nist_1159209	test
nist_1159243	train
nist_1159281	train
nist_1159297	train
nist_1159322	train
nist_1159336	test
nist_1159347	train
nist_1159381	val
nist_1159398	train
nist_1159409	train
nist_1159438	test
nist_1159458	train
nist_1159493	train
nist_1159545	test
nist_1159593	test
nist_1159596	test
nist_1159678	train
nist_1159682	train
nist_1159762	train
nist_1159856	train
nist_1159913	train
nist_1159970	train
nist_1159990	train
nist_1160037	train
nist_1160088	train
nist_1160154	train
nist_1160233	train
nist_1160253	train
nist_1160341	train
nist_1160360	train
nist_1160443	train
nist_1160521	train
nist_1160562	test
nist_1160671	train
nist_1160688	train
nist_1160716	train
nist_1160737	train
nist_1160831	train
nist_1160849	train
nist_1160925	train
nist_1160945	train
nist_1161009	train
nist_1161026	train
nist_1161097	val
nist_1161101	val
nist_1161202	train
nist_1161223	train
nist_1161292	train
nist_1161313	train
nist_1161392	train
nist_1161413	train
nist_1161608	val
nist_1161644	val
nist_1161698	train
nist_1161737	train
nist_1161761	train
nist_1161821	train
nist_1161874	train
nist_1161899	train
nist_1161929	val
nist_1161989	test
nist_1162031	test
nist_1162090	train
nist_1162106	train
nist_1162121	train
nist_1162202	train
nist_1162242	train
nist_1162262	train
nist_1162293	test
nist_1162310	test
nist_1162344	test
nist_1162362	test
nist_1162461	train
nist_1162501	train
nist_1162533	train
nist_1162594	train
nist_1162609	train
nist_1162620	train
nist_1162644	train
nist_1162655	test
nist_1162689	val
nist_1162710	train
nist_1162770	train
nist_1162791	train
nist_1162814	train
nist_1162839	train
nist_1162864	train
nist_1162878	train
nist_1162896	train
nist_1162922	train
nist_1162938	train
nist_1162992	train
nist_1163015	train
nist_1163060	train
nist_1163086	train
nist_1163097	train
nist_1163132	train
nist_1163154	train
nist_1163172	train
nist_1163234	train
nist_1163290	train
nist_1163322	train
nist_1163334	train
nist_1163353	train
nist_1163371	train
nist_1163390	train
nist_1163408	val
nist_1163428	val
nist_1163445	val
nist_1163466	val
nist_1163491	train
nist_1163530	train
nist_1163551	train
nist_1163567	test
nist_1163587	test
nist_1163617	train
nist_1163639	test
nist_1163699	train
nist_1163715	train
nist_1163730	train
nist_1163765	train
nist_1163786	train
nist_1163808	train
nist_1163867	train
nist_1164015	train
nist_1164037	train
nist_1164060	train
nist_1164133	val
nist_1164173	val
nist_1164250	train
nist_1164269	train
nist_1164508	train
nist_1164568	train
nist_1164600	train
nist_1164619	train
nist_1164640	train
nist_1164660	train
nist_1164693	train
nist_1164712	train
nist_1164733	train
nist_1164810	train
nist_1164868	train
nist_1164918	test
nist_1164978	test
nist_1164999	test
nist_1165005	train
nist_1165043	train
nist_1165072	train
nist_1165110	train
nist_1165132	train
nist_1165154	train
nist_1165173	train
nist_1165194	train
nist_1165211	train
nist_1165236	train
nist_1165257	train
nist_1165275	train
nist_1165293	test
nist_1165309	test
nist_1165447	test
nist_1165469	test
nist_1165535	train
nist_1165562	train
nist_1165587	train
nist_1165603	test
nist_1165665	test
nist_1165688	train
nist_1165698	train
nist_1165716	train
nist_1165732	train
nist_1165748	train
nist_1165762	train
nist_1165814	train
nist_1165847	test
nist_1165944	train
nist_1165966	val
nist_1165990	val
nist_1166084	train
nist_1166097	test
nist_1166112	train
nist_1166155	train
nist_1166191	test
nist_1166210	train
nist_1166270	train
nist_1166286	train
nist_1166342	train
nist_1166356	train
nist_1166371	train
nist_1166390	train
nist_1166408	train
nist_1166458	train
nist_1166477	train
nist_1166517	train
nist_1166536	val
nist_1166558	val
nist_1166576	val
nist_1166585	train
nist_1166608	train
nist_1166639	train
nist_1166676	val
nist_1166699	val
nist_1166720	val
nist_1166733	train
nist_1166778	test
nist_1166813	test
nist_1166835	train
nist_1166864	train
nist_1166871	train
nist_1166891	train
nist_1166910	test
nist_1166925	test
nist_1166936	train
nist_1166958	train
nist_1166965	test
nist_1166991	train
nist_1167010	train
nist_1167045	train
nist_1167080	train
nist_1167108	train
nist_1167122	train
nist_1167142	train
nist_1167165	train
nist_1167199	train
nist_1167292	train
nist_1167306	train
nist_1167323	train
nist_1167407	train
nist_1167426	train
nist_1167444	train
nist_1167466	train
nist_1167469	train
nist_1167489	train
nist_1167510	val
nist_1167532	val
nist_1167551	train
nist_1167591	train
nist_1167612	train
nist_1167631	val
nist_1167682	val
nist_1167701	train
nist_1167737	train
nist_1167754	val
nist_1167815	train
nist_1167837	val
nist_1167854	train
nist_1167875	train
nist_1167892	test
nist_1167938	train
nist_1168017	train
nist_1168066	train
nist_1168080	train
nist_1168106	train
nist_1168126	train
nist_1168147	train
nist_1168176	train
nist_1168198	train
nist_1168245	train
nist_1168281	train
nist_1168294	train
nist_1168320	train
nist_1168328	train
nist_1168348	train
nist_1168368	train
nist_1168390	train
nist_1168437	train
nist_1168464	test
nist_1168487	test
nist_1168509	train
nist_1168540	train
nist_1168555	train
nist_1168585	train
nist_1168606	train
nist_1168632	train
nist_1168654	train
nist_1168668	train
nist_1168693	train
nist_1168726	train
nist_1168786	train
nist_1168850	val
nist_1168919	val
nist_1168938	val
nist_1168957	train
nist_1169054	train
nist_1169099	test
nist_1169122	test
nist_1169145	test
nist_1169299	train
nist_1169323	train
nist_1169350	train
nist_1169403	train
nist_1169423	train
nist_1169445	train
nist_1169470	train
nist_1169507	train
nist_1169531	train
nist_1169551	train
nist_1169579	train
nist_1169598	train
nist_1169617	train
nist_1169635	train
nist_1169677	train
nist_1169695	train
nist_1169703	train
nist_1169720	train
nist_1169748	train
nist_1169802	train
nist_1169816	train
nist_1169838	train
nist_1169858	train
nist_1169894	train
nist_1169933	train
nist_1169965	train
nist_1169986	train
nist_1170005	train
nist_1170008	train
nist_1170028	train
nist_1170047	train
nist_1170071	train
nist_1170091	train
nist_1170114	train
nist_1170149	train
nist_1170162	train
nist_1170185	train
nist_1170221	train
nist_1170306	train
nist_1170377	train
nist_1170398	train
nist_1170420	val
nist_1170473	train
nist_1170517	val
nist_1170614	test
nist_1170663	train
nist_1170702	train
nist_1170783	train
nist_1170804	train
nist_1170820	train
nist_1170827	train
nist_1170854	test
nist_1170869	train
nist_1170901	train
nist_1170967	train
nist_1171001	train
nist_1171064	test
nist_1171109	train
nist_1171136	train
nist_1171207	train
nist_1171280	train
nist_1171301	train
nist_1171317	train
nist_1171349	train
nist_1171369	train
nist_1171389	train
nist_1171423	test
nist_1171445	test
nist_1171553	train
nist_1171575	train
nist_1171700	train
nist_1171781	train
nist_1171805	train
nist_1171824	train
nist_1171844	train
nist_1171866	test
nist_1171889	train
nist_1171908	train
nist_1171943	train
nist_1171964	train
nist_1171985	train
nist_1172122	test
nist_1172153	train
nist_1172403	test
nist_1172836	train
nist_1172852	train
nist_1172871	train
nist_1172931	train
nist_1173052	train
nist_1173076	train
nist_1173096	train
nist_1173216	train
nist_1173234	train
nist_1173308	train
nist_1173342	val
nist_1173403	train
nist_1173463	train
nist_1173481	train
nist_1173508	train
nist_1173527	train
nist_1173583	test
nist_1173683	train
nist_1173717	train
nist_1173764	train
nist_1173786	train
nist_1173805	train
nist_1173847	train
nist_1173869	train
nist_1173888	train
nist_1173949	train
nist_1173982	train
nist_1174047	train
nist_1174054	train
nist_1174064	train
nist_1174075	train
nist_1174091	train
nist_1174107	train
nist_1174137	train
nist_1174217	train
nist_1174234	train
nist_1174252	train
nist_1174302	train
nist_1174345	train
nist_1174366	test
nist_1174386	train
nist_1174394	train
nist_1174406	train
nist_1174423	train
nist_1174431	train
nist_1174452	train
nist_1174464	train
nist_1174478	test
nist_1174538	test
nist_1174594	train
nist_1174656	train
nist_1174672	train
nist_1174703	test
nist_1174798	train
nist_1174804	train
nist_1174884	train
nist_1174903	train
nist_1174927	train
nist_1174949	val
nist_1174969	val
nist_1174988	train
nist_1175005	train
nist_1175024	train
nist_1175044	train
nist_1175060	train
nist_1175100	train
nist_1175114	train
nist_1175155	train
nist_1175164	train
nist_1175186	train
nist_1175204	train
nist_1175207	train
nist_1175239	train
nist_1175261	train
nist_1175281	train
nist_1175344	train
nist_1175362	train
nist_1175396	train
nist_1175444	train
nist_1175504	train
nist_1175538	train
nist_1175578	train
nist_1175619	train
nist_1175639	train
nist_1175658	train
nist_1175673	train
nist_1175687	train
nist_1175693	train
nist_1175711	train
nist_1175723	train
nist_1175743	train
nist_1175756	train
nist_1175775	train
nist_1175858	train
nist_1175865	train
nist_1175885	test
nist_1175906	test
nist_1175921	train
nist_1175938	train
nist_1175954	train
nist_1175979	train
nist_1175995	train
nist_1176000	train
nist_1176016	val
